variety_name,detail_url,jina,zao,crop_common,crop_scientific,crop_full_name,mwaka_usajili,registrant,altitude_range,altitude_min,altitude_max,suitable_regions,grain_yield,grain_yield_min,grain_yield_max,distinctive_characters,days_to_tasseling,plant_height_cm,grain_size,stem_colour,additional_fields
H 515,https://www.tosci.go.tz/seed-varieties/h-515,H 515,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2003,Kenya Seed Co. Ltd,1200-1600,1200.0,1600.0,"Iringa, Mbeya, Kilimanjaro, Arusha, Ruvuma, Manyara",4.0-5.0,4.0,5.0,"Stem colour: green with light shades of purples,Stem colour: green with light shades of purples, Leaf colour: dark green with hairy sheaths, Cob shape: cylindrical,Days to 50 % tasseling: 78,Days to 50 % silking: 85, Grain size: large, Leaf orientation: slightly recurved, Seed or Grain: semi-flint, Plant height: 270 cm",78.0,270.0,large,green with light shades of purples,{}
H511,https://www.tosci.go.tz/seed-varieties/h511,H511,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),1968,EAC/KARI/,1300 - 1700,1300.0,1700.0,"Kilimanjaro, Arusha",4.0-5.0,4.0,5.0,"Duration to maturity: medium maturity (4-6 months),Kernal colour: white, but bears purple kernels in some ears",,,,,"{""Special Attributes"": ""Earlier in maturity""}"
H625,https://www.tosci.go.tz/seed-varieties/h625,H625,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2000,Kenya Seed Co. Ltd,1500 - 2400,1500.0,2400.0,"Iringa, Ruvuma, Morogoro, Mbeya, Rukwa",9.0 – 10.0,9.0,10.0,Duration to maturity: 6-8 months,,,,,"{""Special Attributes"": ""Resistant to lodging, leaf rust, leaf blight, drought and grey leaf spot,Prolific,Good husk cover""}"
H632,https://www.tosci.go.tz/seed-varieties/h632,H632,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),1968,Kenya Seed Co.,1200-1650,1200.0,1650.0,"Kilimanjaro, Mbeya, Ruvuma, Rukwa and Arusha",6.0-7.0,6.0,7.0,"Seed or grain: dent, large kernels, Duration to maturity: 5-7 months",,,,,"{""Special Attributes"": ""Fairly tolerant to leaf blight and leaf rust but susceptible to grey leaf spot""}"
Hombolo 95,https://www.tosci.go.tz/seed-varieties/hombolo-95,Hombolo 95,Cassava  (Manihot spp.),Cassava,Manihot spp.,Cassava  (Manihot spp.),2004,SRI Kibaha,0-1000,0.0,1000.0,"Pwani, Morogoro, Lindi, Mtwara, Tanga",39,39.0,,"Outer skin root colour: brown,Inner skin root colour: cream,Ground storability:12-15 months,Time to root biodegradation: starts after 6 days from harvesting",,,,,"{""Special Attributes"": ""Resistant to CMD, CBSD, CGM and drought,Ecological adaptability: Semi-arid (Hombolo) tested for 5 years""}"
Kalalu,https://www.tosci.go.tz/seed-varieties/kalalu,Kalalu,Paddy (Oryza sativa),Paddy,Oryza sativa,Paddy (Oryza sativa),2006,SUA,,,,"Morogoro, Kilimanjaro, Pwani, Mwanza, Shinyanga, Tanga, Lindi, Mtwara",44595,44595.0,,"Leaf blade pubescence: glabrous, Leaf angle: horizontal, Flage leaf angle: horizontal, Panicle type:intermediate, Awn presence: shortly and partly awned, Scent (aroma):, Plant height: 118 cm",,118.0,,,"{""Special Attributes"": ""Resistant to Rice Yellow Mottle Virus and Rice blast""}"
KIBO KALE,https://www.tosci.go.tz/seed-varieties/kibo-kale,KIBO KALE,Kale (Brasica oleracea var. acephala),Kale,Brasica oleracea var. acephala,Kale (Brasica oleracea var. acephala),2022,Kibo Seed Co Ltd,,,,,,,,,,,,,{}
Kito,https://www.tosci.go.tz/seed-varieties/kito,Kito,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),1983,ARI -Ilonga,0 -1300,0.0,1300.0,"Kilimanjaro, Morogoro, Arusha, Tanga, Mtwara",2.0 – 3.0,2.0,3.0,"Plant height (cm): 60-135,Leaf orientation: droop,Days to 50% tasseling: 45-47,Tassel colour (anthers): 50% yellow, 40% red and 10% purple,Days to 50% silking:52-56,Seed or Grain: flint,Tassel colour (anthers): 50% yellow, 40% red and 10% purple.",45.0,,,,"{""Special Attributes"": ""Suitable in drier areas""}"
Lishe –K1,https://www.tosci.go.tz/seed-varieties/lishe-k1,Lishe –K1,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2001,ARI-Selian,500-1600,500.0,1600.0,"Arusha, Manyara, Singida, Morogoro",4.0-6.0,4.0,6.0,"Days to 50% flowering: 66-73 days,Days to 50% silking:70-75 days,Plant height: 180-200 cm,Stem colour: green/purple,Tassel colouration: yellow/purple, Silk colour: white,Seed or Grain: flint/dent, Duration to maturity: medium",,,,green/purple,"{""Special Attributes"": ""Quality protein maize [Has 10% protein like other maize varieties but its protein has twice level of essential amino acids (lysine and tryptophane)],Susceptile and moderate resistant to Maize Streak and Gley Leaf Spot respectively, good resistant to Diplodia, Fusarium cob rots, E. turcicum leaf blight and Puccinia sorghi rust""}"
Longe 2H,https://www.tosci.go.tz/seed-varieties/longe-2h,Longe 2H,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2003,FICA SEED Ltd,900 - 1500,900.0,1500.0,"Kilimanjaro, Arusha, Manyara",,,,"Days to 50 % tasseling: 65,Days to 50 % silking: 68, Plant height: 220-240 cm, Kernel row arrangement: regular, Number of row per cob: 14, Seed or Grain: semi-flint",65.0,,,,{}
Naliendele,https://www.tosci.go.tz/seed-varieties/naliendele,Naliendele,Cassava  (Manihot spp.),Cassava,Manihot spp.,Cassava  (Manihot spp.),2003,SRI Kibaha,0-1000,0.0,1000.0,"Pwani, Morogoro, Lindi, Mtwara, Tanga",12,12.0,,"Outer skin root colour: Brown,nner skin root colour: purple, Ground storability: 12-15 months, Time to root biodegradation: starts after 3 day from harvesting",,,,,"{""Special Attributes"": ""Ecological adaptability: Humid sub-humid (coastal areas) tested for more than 5 years""}"
PAN 23,https://www.tosci.go.tz/seed-varieties/pan-23,PAN 23,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2003,Pannar (Pty) Ltd,850-1500,850.0,1500.0,"Iringa, Mbeya, Kilimanjaro, Arusha, Ruvuma, Manyara",4.0-7,4.0,7.0,"Plant height: 276 cm (variable), Plant height: 276 cm (variable), Leaf orientation: erect 30-450, Days to 50% flowering:74 days, Tassel colouration: very purple, Days to 50% silking:76 days, Silk colour: cream to pink, Seed or Grain: dentlike",,276.0,,,"{""Special Attributes"": ""Good resistant to Cob rots, Leaf blight (Helminthrosporium turcicum) and Leaf Rust""}"
Record,https://www.tosci.go.tz/seed-varieties/record,Record,Sunflower (Helianthus annus L.),Sunflower,Helianthus annus L.,Sunflower (Helianthus annus L.),Before 1950’s,ARI Ilonga,0-2000,0.0,2000.0,"Morogoro, Pwani, Dodoma, Singida, Iringa",1.0-2.0,1.0,2.0,"Days to maturity: 110-130, Days to 50 % flowering: 35-45",,,,,"{""Special Attributes"": ""Susceptible to sunflower rugose mosaic virus and sunflower yellow ringspot, Oil content: 50%""}"
Uh615,https://www.tosci.go.tz/seed-varieties/uh615,Uh615,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2001,ARI - Uyole,1200 - 1800,1200.0,1800.0,"Arusha, Mbeya, Iringa, Ruvuma",6.0 – 8.0,6.0,8.0,"Plant height: 200 cm,Days to 50% silking:85-92 days,Silk colour: purple,Seed or Grain: semi-dent",,200.0,,,"{""Special Attributes"": ""Tolerant to grey leaf spot (GLS) and leaf blight""}"
3.TANWAT T.87,https://www.tosci.go.tz/seed-varieties/3-tanwat-t-87,3.TANWAT T.87,Triticale,Triticale,,Triticale,1987,TANWAT,1500-2400,1500.0,2400.0,"Mbeya, Iringa",4,4.0,,"Leaf glaucosity: weak, Growth habit: semi prostate, Culm glaucosity: medium, Sheath glaucosity: medium, Spike glaucosity: medium, Awns: awned, Plant height: 127 cm, Awn colour: brown, Kernel colour: ambercolour, Kernel shape:elliptical",,127.0,,,"{""Special Attributes"": ""Resistant to Septoria, Helminthosporium and Fusarium spp""}"
30G19,https://www.tosci.go.tz/seed-varieties/30g19,30G19,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2011,Pioneer Oversees Corporation,1200 -1800,1200.0,1800.0,Medium altitude,7-11 t/ha,7.0,11.0,Maturity 150 days,,,,,"{""Special Attributes"": ""Resistant to Gray Leaf Spots, Maize streak and turcicum blight""}"
8519,https://www.tosci.go.tz/seed-varieties/8519,8519,Barley (Hordeum vulgare L.),Barley,Hordeum vulgare L.,Barley (Hordeum vulgare L.),1996,TBL,1000-1200,1000.0,1200.0,"Arusha, Manyara",2.0-3.5,2.0,3.5,"Growth type: erect, Colour of leaves : pale green, Size of leaves: large, Tillering: fair, Spike density: long very lax, Colour of spike at grain filling: green, Colour of spike at grain filling: pinkish, Awns colour: pinkish, Hairiness of awns:",,,,,"{""Special Attributes"": ""Moderate malting quality, Tends to have high N content, Resistant to powdery mildew, loose and covered smut, Resistant to leaf and stem rusts, Tolerant to net and spot blotches""}"
9831,https://www.tosci.go.tz/seed-varieties/9831,9831,Barley (Hordeum vulgare L.),Barley,Hordeum vulgare L.,Barley (Hordeum vulgare L.),2004,TBL,1000-1200,1000.0,1200.0,"Arusha, Manyara",2.0-3.0,2.0,3.0,"Growth type: erect, Colour of leaves: pale green, Spike density: medium lax, Colour of spike at grain filling: strongly pink, Plant height: medium, Awns colour: strongly pink, Grain length: medium long, Days to 50 % ear emergency: early, about 50 DAP",,,,,"{""Special Attributes"": ""Disease Reaction: Moderate""}"
AC 1,https://www.tosci.go.tz/seed-varieties/ac-1,AC 1,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2006,ARI Naliendele,0-800,0.0,800.0,"Pwani, Mtwara, Lindi",36,36.0,,"Brown flush Apple shape: cylindrical, Apple coulur: orange, Nut shape: kidney , Flower colour: pink",,,,,"{""Special Attributes"": ""Resistant to Powdery mildew, Anthracnose, and Die back""}"
AC 10,https://www.tosci.go.tz/seed-varieties/ac-10,AC 10,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2006,ARI Naliendele,0-800,0.0,800.0,"Pwani, Mtwara, Lindi",39,39.0,,"Aged leaves turn reddish, the aged leaves colour resembles mature apple colour,Very loose nut attachment to cashew apples, some nuts detach when or before falling on ground",,,,,"{""Special Attributes"": ""Resistant to Powdery mildew, Anthracnose, and Die back""}"
AC 10/129,https://www.tosci.go.tz/seed-varieties/ac-10-129,AC 10/129,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2006,ARI Naliendele,0-800,0.0,800.0,"Pwani, Mtwara, Lindi",67,67.0,,"Brown flushes,Apple shape: cylindrical,Apple colour: yellow",,,,,"{""Special Attributes"": ""Resistant to Powdery mildew, Anthracnose, and Die back""}"
AC 10/220,https://www.tosci.go.tz/seed-varieties/ac-10-220,AC 10/220,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2006,ARI Naliendele,0-800,0.0,800.0,Pwani,53,53.0,,Green flushes relatively broad and large,,,,,"{""Special Attributes"": ""Resistant to Powdery mildew, Anthracnose, and Die back""}"
AC 14,https://www.tosci.go.tz/seed-varieties/ac-14,AC 14,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2006,ARI Naliendele,0-800,0.0,800.0,"Pwani, Mtwara, Lindi",41,41.0,,"Apple shape: long conical Apple colour: orange ,Pink/purple colouration that remain on nuts up to maturity",,,,,"{""Special Attributes"": ""Resistant to Powdery mildew, Anthracnose, and Die back""}"
AC 22,https://www.tosci.go.tz/seed-varieties/ac-22,AC 22,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2006,ARI Naliendele,0-800,0.0,800.0,"Pwani, Mtwara, Lindi",36,36.0,,"Growth habit:natural tendency of the stem to grow relatively upright, even in the case of grafted plant",,,,,"{""Special Attributes"": ""Resistant to Powdery mildew, Anthracnose, and Die back""}"
AC 34,https://www.tosci.go.tz/seed-varieties/ac-34,AC 34,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2006,ARI Naliendele,0-800,0.0,800.0,"Pwani, Mtwara, Lindi",47,47.0,,"Green flushes, which are relatiuvely narrow,Apple colour: yellow .Apple shape: round",,,,,"{""Special Attributes"": ""Resistant to Powdery mildew, Anthracnose, and Die back""}"
AC 4,https://www.tosci.go.tz/seed-varieties/ac-4,AC 4,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2006,ARI Naliendele,0-800,0.0,800.0,"Pwani, Mtwara, Lindi",59,59.0,,"Red flush Apple shape: cylind+J9:J12rical, Apple coulur: orange, Nut size: Large 
Nut apex orientation: slightly tend to bend (on either the left or right side) away from direction of suture",,,,,"{""Special Attributes"": ""Resistant to Powdery mildew, Anthracnose, and Die back""}"
AC 4/17,https://www.tosci.go.tz/seed-varieties/ac-4-17,AC 4/17,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2006,ARI Naliendele,0-800,0.0,800.0,"Pwani, Mtwara, Lindi",16,16.0,,"Nut apex: thin and relatively small-flattened, Dominantly thick bulging flanks starting from just near the lower end of the stylar scar and extend up to the upper shoulders, behind their side of sutureOne side of the flank protrudes more than other side",,,,,"{""Special Attributes"": ""Resistant to Powdery mildew, Anthracnose, and Die back""}"
AC 4/285,https://www.tosci.go.tz/seed-varieties/ac-4-285,AC 4/285,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2006,ARI Naliendele,0-800,0.0,800.0,"Pwani, Mtwara, Lindi",29,29.0,,"Red (bright red) flushes,Leaf shape: Obovate leaves,Apple shape: Cylindrical,Apple colour: orange apples",,,,,"{""Special Attributes"": ""Resistant to Powdery mildew, Anthracnose, and Die back""}"
AC 43,https://www.tosci.go.tz/seed-varieties/ac-43,AC 43,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2006,ARI Naliendele,0-800,0.0,800.0,"Pwani, Mtwara, Lindi",55,55.0,,Apple shape: cylindrical,,,,,"{""Special Attributes"": ""Resistant to Powdery mildew, Anthracnose, and Die back""}"
AC004,https://www.tosci.go.tz/seed-varieties/ac004,AC004,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2023,Agricentric Ltd,,,,,,,,,,,,,{}
AC100,https://www.tosci.go.tz/seed-varieties/ac100,AC100,Sweet pepper (Capsicum annum L.),Sweet pepper,Capsicum annum L.,Sweet pepper (Capsicum annum L.),2024,Agricentric Ltd,,,,,,,,,,,,,{}
ADAM F1,https://www.tosci.go.tz/seed-varieties/adam-f1,ADAM F1,Watermelon  (Citrullus lanatus    ),Watermelon,Citrullus lanatus,Watermelon  (Citrullus lanatus    ),2021,BALTON Tanzania Ltd.,,,,,,,,,,,,,{}
ADITI 308 F1,https://www.tosci.go.tz/seed-varieties/aditi-308-f1,ADITI 308 F1,Watermelon  (Citrullus lanatus    ),Watermelon,Citrullus lanatus,Watermelon  (Citrullus lanatus    ),2021,EAST WEST SEED LTD,,,,,,,,,,,,,{}
ADMIRAL,https://www.tosci.go.tz/seed-varieties/admiral,ADMIRAL,Chill pepper ( Capsicum annuum ),Chill pepper,Capsicum annuum,Chill pepper ( Capsicum annuum ),2021,Syngenta Tanzania Ltd,,,,,,,,,,,,,{}
ADV 1348,https://www.tosci.go.tz/seed-varieties/adv-1348,ADV 1348,Cabbage (Brassica oleracea var. capitata),Cabbage,Brassica oleracea var. capitata,Cabbage (Brassica oleracea var. capitata),2023,Epinav Agricultural Solution,,,,,,,,,,,,,{}
ADV 848,https://www.tosci.go.tz/seed-varieties/adv-848,ADV 848,Okra (Abelmenchus esculantus),Okra,Abelmenchus esculantus,Okra (Abelmenchus esculantus),2023,UPL Tanzania Limited,,,,,,,,,,,,,{}
ADV12131,https://www.tosci.go.tz/seed-varieties/adv12131,ADV12131,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2024,UPL Tanzania Ltd,,,,,,,,,,,,,{}
ADV1225,https://www.tosci.go.tz/seed-varieties/adv1225,ADV1225,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2024,UPL Tanzania Ltd,,,,,,,,,,,,,{}
ADV1285,https://www.tosci.go.tz/seed-varieties/adv1285,ADV1285,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2022,ARYSTA LIFE SCIENCE TZ LTD,,,,,,,,,,,,,{}
ADV2308W,https://www.tosci.go.tz/seed-varieties/adv2308w,ADV2308W,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2024,UPL Tanzania Ltd,600-1200,600.0,1200.0,low-medium,6.0-7.0,6.0,7.0,Inafaa kwa ajili ya malisho (good for fodder uses),,,,,{}
ADV2310W,https://www.tosci.go.tz/seed-varieties/adv2310w,ADV2310W,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2024,UPL Tanzania Ltd,600-1200,600.0,1200.0,low-medium,6-7.5,6.0,7.5,Inakomaa kwa wastani wa siku 110 hadi 120;,,,,,{}
Advanta 1247,https://www.tosci.go.tz/seed-varieties/advanta-1247,Advanta 1247,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2021,BYTRADE Tanzania Ltd.,,,,,,,,,,,,,{}
Advanta 1277A,https://www.tosci.go.tz/seed-varieties/advanta-1277a,Advanta 1277A,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2021,AFRICASIA Seed CO. LTD,,,,,,,,,,,,,{}
ADVANTA 1405,https://www.tosci.go.tz/seed-varieties/advanta-1405,ADVANTA 1405,Watermelon  (Citrullus lanatus    ),Watermelon,Citrullus lanatus,Watermelon  (Citrullus lanatus    ),2021,BYTRADE Tanzania Ltd.,,,,,,,,,,,,,{}
ADVANTA 303,https://www.tosci.go.tz/seed-varieties/advanta-303,ADVANTA 303,Eggplant (Solanum melongena  ),Eggplant,Solanum melongena,Eggplant (Solanum melongena  ),2021,BYTRADE TZ LTD,,,,,,,,,,,,,{}
ADVANTA 309,https://www.tosci.go.tz/seed-varieties/advanta-309,ADVANTA 309,Eggplant (Solanum melongena  ),Eggplant,Solanum melongena,Eggplant (Solanum melongena  ),2021,BYTRADE TZ LTD,,,,,,,,,,,,,{}
ADVANTA 814,https://www.tosci.go.tz/seed-varieties/advanta-814,ADVANTA 814,Okra (Abelmoschus esculentus  ),Okra,Abelmoschus esculentus,Okra (Abelmoschus esculentus  ),2021,BYTRADE Tanzania Ltd.,,,,,,,,,,,,,{}
AFADJA,https://www.tosci.go.tz/seed-varieties/afadja,AFADJA,Hot pepper (Capsicum annuum ),Hot pepper,Capsicum annuum,Hot pepper (Capsicum annuum ),2021,Rijk Zwaan Afrisem Ltd.,,,,,,,,,,,,,{}
Africa red F1,https://www.tosci.go.tz/seed-varieties/africa-red-f1,Africa red F1,Onion (Alium cepa),Onion,Alium cepa,Onion (Alium cepa),2023,UPL Tanzania Ltd,,,,,,,,,,,,,{}
African Beauty F1,https://www.tosci.go.tz/seed-varieties/african-beauty-f1,African Beauty F1,Eggplant  (Solanum melongena),Eggplant,Solanum melongena,Eggplant  (Solanum melongena),2023,Continental Seeds Company,,,,,,,,,,,,,{}
Agri F1,https://www.tosci.go.tz/seed-varieties/agri-f1,Agri F1,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2024,Agrichem Africa Tanzania Ltd,,,,,,,,,,,,,{}
AGRISEED H351,https://www.tosci.go.tz/seed-varieties/agriseed-h351,AGRISEED H351,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2017,AGRISEED TECHNOLOGIES,200 - 1700,200.0,1700.0,Low to Medium potential areas,7,7.0,,,,,,,"{""Special Attributes"": ""High grain yield, tolerant to GLS, leaf blight rust and maize streak, flint character""}"
AGRISEED H352,https://www.tosci.go.tz/seed-varieties/agriseed-h352,AGRISEED H352,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2017,AGRISEED TECHNOLOGIES,200 - 1700,200.0,1700.0,Low to Medium potential areas,6.5,6.5,,,,,,,"{""Special Attributes"": ""High grain yield, tolerant to GLS, leaf blight rust and maize streak, flint character""}"
AGUARA 4,https://www.tosci.go.tz/seed-varieties/aguara-4,AGUARA 4,Sunflower (Helianthus annus L.),Sunflower,Helianthus annus L.,Sunflower (Helianthus annus L.),2015,Advanta Seed Company Ltd,100-2000,100.0,2000.0,"Morogoro, Pwani, Dodoma, Singida, Iringa, Sumbawanga, Rukwa, Kilimanjaro",2.7,2.7,,,,,,,"{""Special Attributes"": ""Oil content 46%""}"
AGUARA 6,https://www.tosci.go.tz/seed-varieties/aguara-6,AGUARA 6,Sunflower (Helianthus annus L.),Sunflower,Helianthus annus L.,Sunflower (Helianthus annus L.),2020,Advanta Seed Company,0-1500,0.0,1500.0,Low to Medium,3,3.0,,,,,,,"{""Special Attributes"": ""High yielding, High oil content (32%)""}"
AKERI,https://www.tosci.go.tz/seed-varieties/akeri,AKERI,Amaranth  (Amaranthus spp ),Amaranth,Amaranthus spp,Amaranth  (Amaranthus spp ),2021,HORTI- Tengeru,,,,,,,,,,,,,{}
ALMASI F1,https://www.tosci.go.tz/seed-varieties/almasi-f1,ALMASI F1,Cabbage (Brassica oleracea var. capitata  ),Cabbage,Brassica oleracea var. capitata,Cabbage (Brassica oleracea var. capitata  ),2021,Kibo Seed Company Ltd,,,,,,,,,,,,,{}
ALPES RZ F1,https://www.tosci.go.tz/seed-varieties/alpes-rz-f1,ALPES RZ F1,Melon (Cucumis melo  ),Melon,Cucumis melo,Melon (Cucumis melo  ),2021,Rijk Zwaan Afrisem Ltd.,,,,,,,,,,,,,{}
AMBASSADOR,https://www.tosci.go.tz/seed-varieties/ambassador,AMBASSADOR,Squash ( Cucurbita Maxima ),Squash,Cucurbita Maxima,Squash ( Cucurbita Maxima ),2021,MONSANTO TANZANIA LTD,,,,,,,,,,,,,{}
AMBURANA,https://www.tosci.go.tz/seed-varieties/amburana,AMBURANA,Tomato,Tomato,,Tomato,2025,RIJK ZWAAN AFRISEM LTD,,,,,,,,,,,,,{}
AMBURENI,https://www.tosci.go.tz/seed-varieties/ambureni,AMBURENI,African nightshade (Solanum scabram),African nightshade,Solanum scabram,African nightshade (Solanum scabram),2021,HORTI- Tengeru,,,,,,,,,,,,,{}
AMH500,https://www.tosci.go.tz/seed-varieties/amh500,AMH500,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2019,Alsem Seed Company,0 - 1500,0.0,1500.0,Low to Mid altitude up to 1500 masl.,,,,,,,,,"{""Special Attributes"": ""High yielding, resistant to GLS and farmers preference""}"
AMH501,https://www.tosci.go.tz/seed-varieties/amh501,AMH501,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2019,Alsem Seed Company,0 - 1500,0.0,1500.0,Low to Mid altitude up to 1500 masl.,,,,,,,,,"{""Special Attributes"": ""High yielding, resistant to GLS and prefered by farmers""}"
AMY,https://www.tosci.go.tz/seed-varieties/amy,AMY,Garden beans (Phaseolus vulgaris  ),Garden beans,Phaseolus vulgaris,Garden beans (Phaseolus vulgaris  ),2021,Monsanto Tanzania Ltd,,,,,,,,,,,,,{}
ANCILA,https://www.tosci.go.tz/seed-varieties/ancila,ANCILA,Sunflower (Helianthus annus L.),Sunflower,Helianthus annus L.,Sunflower (Helianthus annus L.),2020,East African Seed(T) Company Limited,100-1800,100.0,1800.0,Low to High,2.2,2.2,,,,,,,"{""Special Attributes"": ""High Mono-saturated Fats (MUFA), Early maturity, High oil content (38.7%), High yield potential""}"
ANDAMAN F1,https://www.tosci.go.tz/seed-varieties/andaman-f1,ANDAMAN F1,Watermelon  (Citrullus lanatus    ),Watermelon,Citrullus lanatus,Watermelon  (Citrullus lanatus    ),2021,East West Seed (T)Limited,,,,,,,,,,,,,{}
ANITA F1,https://www.tosci.go.tz/seed-varieties/anita-f1,ANITA F1,Watermelon  (Citrullus lanatus    ),Watermelon,Citrullus lanatus,Watermelon  (Citrullus lanatus    ),2021,CONTINENTAL SEED,,,,,,,,,,,,,{}
ANNA F1,https://www.tosci.go.tz/seed-varieties/anna-f1,ANNA F1,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2021,MONSANTO TANZANIA LTD,,,,,,,,,,,,,{}
ANSAL,https://www.tosci.go.tz/seed-varieties/ansal,ANSAL,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2021,Monsanto Tanzania Ltd,,,,,,,,,,,,,{}
ANTEO,https://www.tosci.go.tz/seed-varieties/anteo,ANTEO,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2021,BALTON TANZANIA LTD,,,,,,,,,,,,,{}
ARASHAN.,https://www.tosci.go.tz/seed-varieties/arashan,ARASHAN.,Watermelon  (Citrullus lanatus    ),Watermelon,Citrullus lanatus,Watermelon  (Citrullus lanatus    ),2021,Syngenta Tanzania Ltd,,,,,,,,,,,,,{}
ARCHEO,https://www.tosci.go.tz/seed-varieties/archeo,ARCHEO,Sunflower (Helianthus annus L.),Sunflower,Helianthus annus L.,Sunflower (Helianthus annus L.),2020,East African Seed(T) Company Limited,100-1800,100.0,1800.0,Low to High,2.2,2.2,,,,,,,"{""Special Attributes"": ""High Mono-saturated Fats (MUFA), Early maturity, High oil content (40.6%), High yield potential""}"
ARIANA,https://www.tosci.go.tz/seed-varieties/ariana,ARIANA,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2021,Balton Tanzania Ltd,,,,,,,,,,,,,{}
Arize6444 Gold,https://www.tosci.go.tz/seed-varieties/arize6444-gold,Arize6444 Gold,Paddy (Oryza sativa),Paddy,Oryza sativa,Paddy (Oryza sativa),2018,Bayer Life Sciences LTD,0-1000,0.0,1000.0,"Mwanza, Mtwara, Pwani, Tanga, Kilimanjaro, Arusha, Mbeya",5,5.0,,,,,,,"{""Special Attributes"": ""High yielding and Resistant to Leaf Blight""}"
Arizona,https://www.tosci.go.tz/seed-varieties/arizona,Arizona,Round Potato (Solanum tuberosum),Round Potato,Solanum tuberosum,Round Potato (Solanum tuberosum),2022,Silverlands Ndolela Limited,1200-2400,1200.0,2400.0,All areas groun round potato,40-50,40.0,50.0,Maturity 105-115 days,,,,,"{""Special Attributes"": ""early ware variety, producing high yield under various climatic conditions.Large, oval tubers of a uniform shape and size, yellow skin, light yellow flesh colour.\t\t\nRather firm cooking, high yield, low dry matter content, suitable for medium-term storage, Good heat tolerance, good virus resistances and very reliable in yield, Resistant to PCN RO1 and 4""}"
ARTALE,https://www.tosci.go.tz/seed-varieties/artale,ARTALE,Hot pepper (Capsicum annuum ),Hot pepper,Capsicum annuum,Hot pepper (Capsicum annuum ),2021,Rijk Zwaan Afrisem Ltd.,,,,,,,,,,,,,{}
